mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
13	13	46	50	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		6	66	F#4	4	95
14	14	48	52	4.0		0	0	4/4	2	2	1	1	1		3	45	A2	2	107
14	14	48	52	3.0		0	0	4/4	2	1	3/4	1/2	3/2		3	57	A3	3	105
14	14	48	52	2.0		0	0	4/4	1	2	1/2	1/2	1	-1	2	62	D4	4	103
14	14	48	52	4.0		0	0	4/4	1	1	1	1	1		4	64	E4	4	102
14	14	50	54	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		7	61	C#4	4	104
14	14	51	55	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	106
15	15	52	56	4.0		0	0	4/4	2	2	1	1	1		2	50	D3	3	111
15	15	52	56	4.0		0	0	4/4	2	1	1	1	1		6	54	F#3	3	110
15	15	52	56	4.0		0	0	4/4	1	1	1	1	1		2	62	D4	4	108
15	15	52	56	4.0		0	0	4/4	1	2	1	1	1		2	62	D4	4	109
16	16	56	60	2.0		0	0	4/4	2	2	1/2	1/2	1		4	52	E3	3	119
16	16	56	60	2.0		0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	117
16	16	56	60	1.0		0	0	4/4	1	2	1/4	1/4	1		5	59	B3	3	114
16	16	56	60	2.0		0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	112
16	16	57	61	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		7	61	C#4	4	115
16	16	58	62	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		2	50	D3	3	120
16	16	58	62	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		6	54	F#3	3	118
16	16	58	62	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		2	62	D4	4	116
16	16	58	62	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	113
17	17	60	64	2.0		0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	125
