piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
A-MCAU_AP1832-034_SID033	1: 4/4	1: 1	20	20	72.0	28	28	100.0		288.0	155	51	0	0	0										2021-01-25	3.02	Microsoft Windows			Der Herr liebt unser Leben	AP1832-034 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-034_SID033.mscz	False	43-74 (G2-D5)	Piano	59-74 (B3-D5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-035_SID087	1: 4/4	1: 1	29	29	112.0	29	29	112.0		448.0	218	62	0	0	0										2020-12-22	3.02	Microsoft Windows			Der Wollust Reiz zu widerstreben	AP1832-035 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-035_SID087.mscz	False	43-74 (G2-D5)	Piano	59-74 (B3-D5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-040_SID016	1: 4/4	1: 0	19	19	72.0	19	19	72.0		288.0	147	40	0	0	0										2021-01-25	3.02	Microsoft Windows			Dies sind die Rechte	AP1832-040 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-040_SID016.mscz	False	43-74 (G2-D5)	Piano	62-74 (D4-D5)	Piano	43-65 (G2-F4)
A-MCAU_AP1832-042_SID023	1: 4/4	1: 2	26	26	96.0	35	35	128.0		384.0	187	56	0	0	0										2021-01-25	3.02	Microsoft Windows			Du bist ein Mensch	AP1832-042 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-042_SID023.mscz	False	43-74 (G2-D5)	Piano	61-74 (C#4-D5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-043_SID062	1: 4/4	1: 1	17	17	64.0	17	17	64.0		256.0	123	41	0	0	0										2021-01-25	3.02	Microsoft Windows			Du bist erblasst	AP1832-043 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-043_SID062.mscz	False	43-72 (G2-C5)	Piano	58-72 (A#3-C5)	Piano	43-62 (G2-D4)
A-MCAU_AP1832-046b_SID017	1: 4/4	1: 0	27	27	100.0	36	36	132.0		400.0	207	65	0	0	0										2021-01-25	3.02	Microsoft Windows			Durch Adams Sünde wurden wir	AP1832-046b rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-046b_SID017.mscz	False	43-76 (G2-E5)	Piano	60-76 (C4-E5)	Piano	43-65 (G2-F4)
A-MCAU_AP1832-047_SID018	1: 4/4	1: 0	26	26	96.0	35	35	128.0		384.0	200	61	0	0	0										2021-01-25	3.02	Microsoft Windows			Ein' feste Burg ist unser Gott	AP1832-047 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-047_SID018.mscz	False	43-72 (G2-C5)	Piano	57-72 (A3-C5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-048_SID020	1: 4/4	1: -1	34	34	128.0	43	43	160.0		512.0	265	80	0	0	0										2021-01-25	3.02	Microsoft Windows			Ein Lamm geht hin 	AP1832-048 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-048_SID020.mscz	False	43-74 (G2-D5)	Piano	58-74 (Bb3-D5)	Piano	43-63 (G2-Eb4)
A-MCAU_AP1832-050_SID015	1: 4/4	1: -1	29	29	110.0	39	39	146.0		440.0	222	68	0	0	0										2021-01-25	3.02	Microsoft Windows			Entehre nicht, mein Herz, mit Klagen	AP1832-050 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-050_SID015.mscz	False	43-74 (G2-D5)	Piano	57-74 (A3-D5)	Piano	43-62 (G2-D4)
A-MCAU_AP1832-051_SID022	1: 4/4	1: 1	17	17	66.0	17	17	66.0		264.0	135	40	0	0	0										2021-01-25	3.02	Microsoft Windows			Erhalt uns Herr bei deinem Wort	AP1832-051 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-051_SID022.mscz	False	43-74 (G2-D5)	Piano	55-74 (G3-D5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-054_SID027	1: 4/4	1: 1	22	22	80.0	31	31	112.0		320.0	166	49	0	0	0										2021-01-25	3.02	Microsoft Windows			Erkühnt sich schon der Gleissner Mund	AP1832-054 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-054_SID027.mscz	False	43-74 (G2-D5)	Piano	57-74 (A3-D5)	Piano	43-64 (G2-E4)
A-MCAU_AP1832-055_SID024	1: 4/4	1: 0	19	19	72.0	19	19	72.0		288.0	157	48	0	0	0										2021-01-25	3.02	Microsoft Windows			Erschienen ist der Siegestag	AP1832-055 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-055_SID024.mscz	False	43-74 (G2-D5)	Piano	57-74 (A3-D5)	Piano	43-62 (G2-D4)
A-MCAU_AP1832-057_SID028	1: 4/4	1: 0	31	31	116.0	40	40	148.0		464.0	244	77	0	0	0										2021-01-25	3.02	Microsoft Windows			Es wolle Gott uns gnädig seyn	AP1832-057 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-057_SID028.mscz	False	45-74 (A2-D5)	Piano	57-74 (A3-D5)	Piano	45-64 (A2-E4)
A-MCAU_AP1832-058_SID029	1: 4/4	1: -1	27	27	108.0	36	36	144.0		432.0	198	61	0	0	0										2021-01-25	3.02	Microsoft Windows			Freue dich, o meine Seele	AP1832-058 rev.	Georg Christian Apel	3.6.2	2.5.3	1832_VollständigesChoralbuch/Analysis-MusiCAU	1832_VollständigesChoralbuch/Analysis-MusiCAU/A-MCAU_AP1832-058_SID029.mscz	False	43-74 (G2-D5)	Piano	57-74 (A3-D5)	Piano	43-64 (G2-E4)
